Player Name,Gameweek Points
Aaron Connolly,1
Aaron Cresswell,0
Aaron Lennon,0
Aaron Mooy,1
Aaron Ramsdale,3
Aaron Wan-Bissaka,6
Abdoulaye Doucouré,2
Adam Idah,0
Adam Lallana,0
Adam Masina,0
Adam Smith,0
Adam Webster,2
Adama Traoré,1
Ademola Lookman,0
Adrian Mariappa,0
Adrián San Miguel del Castillo,2
Ahmed El Mohamady,1
Ainsley Maitland-Niles,4
Albian Ajeti,0
Alex Iwobi,2
Alex McCarthy,0
Alex Oxlade-Chamberlain,2
Alexander Tettey,2
Alexandre Lacazette,0
Alexandre Nascimento Costa Silva,0
Alexis Sánchez,0
Alireza Jahanbakhsh,0
Alisson Ramses Becker,0
Allan Saint-Maximin,0
Andre Gray,1
Andre Green,0
Andreas Christensen,0
Andreas Pereira,3
Andrew Robertson,5
Andrew Surman,0
Andriy Yarmolenko,3
Andros Townsend,2
André Filipe Tavares Gomes,0
Andy Carroll,0
Andy King,0
Andy Lonergan,0
Angel Gomes,0
Angelo Ogbonna,6
Angus Gunn,9
Anthony Knockaert,0
Anthony Martial,0
Antonio Rüdiger,1
Anwar El Ghazi,3
Arnaut Danjuma Groeneveld,0
Arthur Masuaku,3
Artur Boruc,0
Ashley Barnes,2
Ashley Westwood,1
Ashley Young,6
Asmir Begovic,0
Axel Tuanzebe,1
Aymeric Laporte,0
Ayoze Pérez,1
Bailey Peacock-Farrell,0
Bamidele Alli,0
Ben Davies,1
Ben Foster,1
Ben Gibson,0
Ben Godfrey,1
Ben Johnson,0
Ben Mee,2
Ben Osborn,0
Benjamin Chilwell,1
Benjamin Mendy,0
Beram Kayal,0
Bernard Anício Caldeira Duarte,1
Bernardo Fernandes da Silva Junior,0
Bernardo Mota Veiga de Carvalho e Silva,4
Bernd Leno,2
Billy Gilmour,0
Billy Sharp,-2
Birkir Bjarnason,0
Bjorn Engels,7
Bukayo Saka,0
Callum Hudson-Odoi,0
Callum Robinson,1
Callum Slattery,0
Callum Wilson,13
Calum Chambers,0
Caoimhin Kelleher,0
Carl Jenkinson,0
Carlos Sánchez,0
Cenk Tosun,0
Charlie Austin,0
Charlie Daniels,0
Charlie Taylor,0
Che Adams,2
Cheikhou Kouyaté,2
Chris Basham,2
Chris Mepham,1
Chris Smalling,0
Chris Wood,2
Christian Atsu,5
Christian Benteke,1
Christian Eriksen,2
Christian Fuchs,0
Christian Kabasele,1
Christian Pulisic,0
Christoph Zimmermann,0
Ciaran Clark,0
Claudio Bravo,0
Connor Wickham,0
Conor Coady,0
Conor Hourihane,0
Craig Cathcart,0
Craig Dawson,1
Cédric Soares,6
César Azpilicueta,1
Dale Stephens,2
Dan Burn,2
Dan Gosling,0
Daniel Amartey,0
Daniel Ceballos Fernández,1
Daniel Drinkwater,0
Daniel James,2
Daniel N'Lundulu,0
Danilo Luiz da Silva,0
Danny Ings,1
Danny Rose,5
Danny Ward,0
Danny Welbeck,0
Daryl Janmaat,1
David Brooks,0
David Button,0
David Luiz Moreira Marinho,1
David McGoldrick,2
David Silva,1
David de Gea,9
Davide Zappacosta,0
Davinson Sánchez,0
Davy Pröpper,2
DeAndre Yedlin,0
Dean Henderson,4
Declan Rice,3
Dejan Lovren,0
Demarai Gray,2
Dennis Praet,0
Dennis Srbeny,1
Diego Rico,5
Dimitri Foulquier,0
Diogo Jota,2
Divock Origi,1
Djibril Sidibé,0
Domingos Quina,0
Dominic Calvert-Lewin,6
Dominic Solanke,2
Douglas Luiz Soares de Paulo,1
Dwight McNeil,2
Ederson Santana de Moraes,1
Edward Nketiah,0
Eldin Jakupovic,0
Emerson Palmieri dos Santos,0
Emil Krafth,1
Emiliano Buendía,11
Emiliano Martínez,0
Enda Stevens,2
Eric Bailly,0
Eric Dier,0
Erik Lamela,8
Erik Pieters,2
Ethan Ampadu,0
Etienne Capoue,1
Ezri Konsa Ngoyo,0
Fabian Delph,0
Fabian Schär,1
Fabio Henrique Tavares,2
Fabián Balbuena,1
Federico Fernández,1
Felipe Anderson Pereira Gomes,3
Fernando Luiz Rosa,0
Fikayo Tomori,9
Florian Lejeune,0
Florin Andone,0
Francisco Femenía Far,0
Fraser Forster,0
Frederick Woodman,0
Frederico Rodrigues de Paula Santos,1
Frédéric Guilbert,6
Gabriel Fernando de Jesus,4
Gabriel Teodoro Martinelli Silva,0
Gary Cahill,0
Gaëtan Bong,1
George Baldock,2
Georges-Kévin Nkoudou,0
Georginio Wijnaldum,2
Gerard Deulofeu,7
Giovani Lo Celso,0
Glenn Murray,2
Grady Diangana,0
Granit Xhaka,2
Grant Hanley,0
Gylfi Sigurdsson,2
Hamza Choudhury,1
Harry Kane,5
Harry Maguire,6
Harry Wilson,1
Harry Winks,2
Harvey Barnes,1
Henri Lansbury,0
Henrikh Mkhitaryan,0
Heung-Min Son,16
Heurelho da Silva Gomes,0
Hugo Lloris,8
Héctor Bellerín,0
Hélder Costa,0
Ibrahim Amadou,2
Idrissa Gueye,0
Ilkay Gündogan,1
Isaac Hayden,2
Isaac Success Ajayi,0
Ismaïla Sarr,1
Issa Diop,6
Ivan Cavaleiro,0
Jack Colback,0
Jack Cork,2
Jack Grealish,2
Jack O'Connell,2
Jack Simpson,0
Jack Stacey,2
Jack Stephens,0
Jack Wilshere,0
Jacob Murphy,0
Jairo Riedewald,0
Jake Eastwood,0
Jamaal Lascelles,1
Jamal Lewis,1
James Chester,0
James Garner,0
James Justin,0
James Maddison,1
James McArthur,0
James McCarthy,1
James Milner,1
James Tarkowski,2
James Tomkins,0
James Ward-Prowse,3
Jamie Vardy,2
Jan Bednarek,6
Jan Vertonghen,5
Jannik Vestergaard,5
Javier Hernández Balcázar,0
Javier Manquillo,1
Jay Rodriguez,1
Jean-Philippe Gbamin,0
Jed Steer,0
Jeff Hendrick,7
Jefferson Lerma,1
Jeffrey Schlupp,2
Jesse Lingard,0
Jesús Vallejo Lázaro,0
Jetro Willems,7
Joe Hart,0
Joel Matip,2
Joel Ward,-1
Joelinton Cássio Apolinário de Lira,2
Johann Berg Gudmundsson,0
John Egan,2
John Fleck,1
John Lundstram,2
John McGinn,3
John Ruddy,0
John Stones,1
Jonas Lössl,0
Jonathan Castro Otto,0
Jonathan Kodjia,0
Jonjo Shelvey,2
Jonny Evans,2
Jordan Ayew,1
Jordan Henderson,0
Jordan Pickford,2
Jordon Ibe,0
Jorge Luiz Frello Filho,5
Jose Luis Mato Sanmartín,0
Joseph Gomez,0
Joseph Willock,1
Joshua King,10
Josip Drmic,1
José Diogo Dalot Teixeira,0
José Heriberto Izquierdo Mena,0
José Holebas,0
José Ignacio Peleteiro Romallo,3
José Ángel Esmorís Tasende,0
João Filipe Iria Santos Moutinho,2
João Pedro Cavaco Cancelo,0
Juan Foyth,0
Juan Mata,3
Junior Stanislas,0
Jürgen Locadia,0
Karl Darlow,0
Kasper Schmeichel,3
Kayne Ramsay,0
Keinan Davis,1
Kelechi Iheanacho,0
Ken Sema,0
Kenny McLean,6
Kepa Arrizabalaga,2
Kevin Danso,0
Kevin De Bruyne,1
Kevin Long,0
Kieran Tierney,0
Kieran Trippier,0
Kieron Freeman,0
Konstantinos Mavropanos,0
Kortney Hause,0
Kurt Zouma,0
Kyle Walker,1
Kyle Walker-Peters,0
Laurent Koscielny,0
Leander Dendoncker,1
Leandro Trossard,0
Lee Grant,0
Leighton Baines,0
Leon Balogun,0
Leroy Sané,0
Lewis Cook,2
Lewis Dunk,2
Lewis Gibson,0
Lloyd Kelly,0
Lovre Kalinic,0
Lucas Digne,0
Lucas Rodrigues Moura da Silva,1
Lucas Torreira,1
Luka Milivojevic,1
Lukasz Fabianski,10
Luke Amos,0
Luke Dreher,0
Luke Freeman,0
Luke Shaw,0
Lys Mousset,1
Maarten Stekelenburg,0
Mahmoud Ahmed Ibrahim Hassan,0
Mamadou Sakho,0
Manuel Lanzini,3
Marc Albrighton,0
Marc Navarro,0
Marco Stiepermann,2
Marcos Alonso,4
Marcos Rojo,0
Marcus Rashford,9
Mario Lemina,0
Mario Vrancic,0
Mark Duffy,0
Mark Noble,2
Mark Travers,0
Marko Arnautovic,0
Martin Dubravka,2
Martin Kelly,0
Martín Montoya,0
Marvelous Nakamba,3
Mason Greenwood,0
Mason Holgate,0
Mason Mount,9
Matej Vydra,4
Mateo Kovacic,2
Mathew Ryan,2
Matt Doherty,4
Matt Ritchie,0
Matt Targett,0
Matteo Darmian,0
Matteo Guendouzi,1
Matthew Clarke,0
Matthew Longstaff,0
Matthew Lowton,2
Matty James,0
Max Kilman,0
Max Meyer,0
Maximillian Aarons,0
Maya Yoshida,7
Mesut Özil,2
Michael Keane,1
Michael McGovern,0
Michael Obafemi,0
Michael Verrips,0
Michail Antonio,0
Michy Batshuayi,4
Miguel Almirón,2
Mohamed Elneny,0
Mohamed Elyounoussi,0
Mohamed Salah,9
Moise Kean,1
Morgan Gibbs-White,1
Morgan Schneiderlin,1
Moritz Leitner,0
Moussa Djenepo,11
Moussa Sissoko,3
Muhamed Bešić,0
N'Golo Kanté,0
Naby Keita,0
Nacho Monreal,0
Nampalys Mendy,0
Nathan Aké,2
Nathan Redmond,0
Nathaniel Chalobah,0
Neal Maupay,8
Neil Taylor,6
Nemanja Matic,3
Nick Pope,3
Nicolas Pépé,2
Nicolás Otamendi,1
Oleksandr Zinchenko,1
Oliver McBurnie,2
Oliver Norwood,2
Oliver Skipp,0
Olivier Giroud,0
Onel Hernández,0
Oriol Romeu Vidal,3
Pablo Fornals,1
Pablo Zabaleta,1
Pascal Groß,2
Patrick Cutrone,5
Patrick Roberts,0
Patrick van Aanholt,-2
Paul Dummett,1
Paul Pogba,0
Paulo Gazzaniga,0
Pedro Lomba Neto,0
Pedro Obiang,0
Pedro Rodríguez Ledesma,0
Phil Bardsley,0
Phil Foden,0
Phil Jagielka,0
Phil Jones,0
Philip Billing,2
Philip Heise,0
Pierre-Emerick Aubameyang,13
Pierre-Emile Højbjerg,3
Pontus Dahlberg,0
Rachid Ghezzal,0
Rafael Camacho,0
Raheem Sterling,2
Ralf Fahrmann,0
Ravel Morrison,0
Raúl Jiménez,2
Reece James,0
Reiss Nelson,1
Rhian Brewster,0
Ricardo Domingos Barbosa Pereira,2
Richard Stearman,0
Richarlison de Andrade,4
Riyad Mahrez,1
Rob Holding,0
Robbie Brady,0
Robert Kenedy Nunes do Nascimento,0
Robert Snodgrass,0
Roberto Firmino,8
Roberto Jimenez Gago,0
Roberto Pereyra,6
Rodrigo Hernandez,8
Rolando Aarons,0
Romain Saïss,2
Romelu Lukaku,0
Ross Barkley,1
Ruben Loftus-Cheek,0
Rui Pedro dos Santos Patrício,0
Ryan Bennett,0
Ryan Bertrand,0
Ryan Fraser,7
Ryan Fredericks,8
Ryan Sessegnon,0
Rúben Diogo da Silva Neves,2
Rúben Gonçalo Silva Nascimento Vinagre,0
Sadio Mané,15
Sam Byram,0
Sam Gallagher,0
Sam Surridge,0
Scott Dann,0
Scott McTominay,3
Sead Kolasinac,3
Seamus Coleman,1
Sean Longstaff,0
Sebastian Prödl,0
Serge Aurier,14
Sergio Agüero,6
Sergio Romero,0
Shane Duffy,2
Shane Long,1
Shkodran Mustafi,0
Simon Francis,0
Simon Mignolet,0
Simon Moore,0
Sofiane Boufal,6
Sokratis Papastathopoulos,1
Solomon March,9
Steve Cook,2
Steven Alzate,0
Steven Defour,0
Stuart Armstrong,1
Sung-yueng Ki,0
Sébastien Haller,2
Tahith Chong,1
Tammy Abraham,14
Tanguy Ndombele,1
Teemu Pukki,12
Theo Walcott,1
Tim Krul,3
Timm Klose,0
Toby Alderweireld,10
Todd Cantwell,6
Tom Cleverley,9
Tom Davies,0
Tom Heaton,6
Tom Trybull,0
Trent Alexander-Arnold,2
Troy Deeney,0
Troy Parrott,0
Tudor Baluta,0
Tyreke Johnson,0
Tyrone Mings,5
Vicente Guaita,0
Victor Lindelöf,8
Victor Wanyama,0
Vincent Janssen,0
Virgil van Dijk,2
Víctor Camarasa,1
Wayne Hennessey,0
Wes Morgan,0
Wesley Hoedt,0
Wesley Moraes,2
Wilfred Ndidi,2
Wilfried Zaha,2
Will Hughes,2
Will Norris,0
Willian Borges Da Silva,2
Willy Boly,0
Willy Caballero,0
Winston Reid,0
Xherdan Shaqiri,1
Yan Valery,0
Yerry Mina,1
Yoshinori Muto,1
Youri Tielemans,2
Yves Bissouma,0
Çaglar Söyüncü,2
Ørjan Nyland,0
